title,description,tokens
Improved Conversion Rates,"The integration of geolocation services, such as Google Maps, has increased the conversion rate on average by 0.7%. This is a significant increase as it requires minimal effort from the customer during the checkout process.",35
Automatic Field Population,CloudCart's geolocation functionality allows customers to populate their address fields automatically based on their location with a single click. This streamlines the checkout process and makes it faster and more efficient.,31
Address Detection and Validation,The platform can detect and validate addresses and businesses by name. This information is automatically pulled from Google Maps and entered into the appropriate fields during the checkout process.,29
Phone Number Validation and Formatting,"CloudCart's system validates phone numbers and automatically reformats them into a consistent format. This is important for maintaining consistent data structures for campaigns, customer communication, and third-party application integration.",29
Shipping Cost Calculation and Validation,The geolocation information allows CloudCart to provide precise shipping cost calculations and address validation. This eliminates the need to verify addresses manually and ensures that the information is accurate and reliable.,31
Discounts and Product Availability Based on Geolocation,"Based on geolocation information, merchants can offer discounts and display different product availabilities to customers from specific countries or regions. This allows for a more personalized shopping experience for users.",30
Geolocation Redirect Functionality,CloudCart's geolocation redirect functionality enables merchants to redirect customers to specific stores based on their location. This is useful for merchants operating in different countries with separate store domains.,29
Conclusion,"In summary, CloudCart's geolocation functionality provides merchants with improved conversion rates, streamlined checkout processes, personalized promotions and discounts, and better data consistency. This innovative technology combines various services to deliver powerful features for merchants.",34
Verifying Customer Accounts,"CloudCart checkout offers two options for verifying customer accounts: don't verify email addresses and verify email addresses. We generally don't advise merchants to verify their customers' emails, but in some cases, this functionality might be necessary. If the ""verify email addresses"" setting is enabled, users won't be able to complete the checkout until they verify their email address. However, this can make the checkout process less smooth, so use this feature only if it's crucial for your business.",78
Configuring Customer Profiles,"CloudCart allows you to configure the type of customer profiles you accept at your store. By default, it is set to guests and members, but you can change it to members only if needed. Requiring members only is a good option for selling digital products, as guest checkout is not allowed in this case. Based on the product type at the checkout, the platform will decide which type of profile to ask from the customer. For digital products or a mixture of digital and physical products, the platform will require customers to register at the store. If only physical products are in the cart, the platform will allow customers to check out as a guest. It's generally recommended to stick with the default setting (guests and members) unless your business is focused on digital inventory.",135
Guests and Members Functionality,"When the setting is configured to guests and members, the checkout process will be faster for customers with only physical products in their cart, as they only need to add their shipping address. If the customer has a digital product or a mixture of digital and physical products in their cart, the checkout process will require them to register. This functionality creates a consistent and adaptable checkout process based on the products in the cart.",75
Guests Only Functionality,"When the setting is configured to guests only, customers can only check out as a guest, and the login option is removed. However, it is not recommended to set up guest-only checkout, as it may give the impression that the customer is not planning to make future purchases from the store. Instead, it's better to use the default setting of guests and members, allowing customers the option to register or check out as a guest.",75
Converting Guests into Members,"We have a brilliant functionality that converts your guest users into members. When a new customer places an order and provides their name, email address, and phone number, the system automatically creates an account for them using their email as the username and generating a random password. The customer receives a welcome email with their new account information. The next time they visit the store, they can log in using their email and password, which enables a faster and smoother checkout process.",82
Importance of Informing Customers,"If customers are unaware that an account has been created for them, they may get confused and think the platform isn't working properly. To avoid this, it's a good idea to inform customers about their new account on the thank you page or create a custom thank you page with the information.",52
Benefits of Converting Guests into Members,"Converting guests into members allows customers to check out faster by reusing their stored information, such as addresses, from previous orders. This minimizes the steps and fields required during the checkout process, making it easier and more efficient for customers.",40
Hiding Prices for Guests,"There is an option to hide product prices for guest users, which is useful for B2B businesses that want to protect their pricing from casual viewers. When this option is enabled, only logged-in users can see the product prices.",39
Requiring Shipping and Billing Addresses on Registration,"For B2B businesses, it's possible to require customers to provide their shipping and billing addresses during the registration process. This ensures that all necessary information is collected upfront and can be used for order processing and account management.",38
Customization Options,"The platform offers a variety of settings and options for configuring customer accounts and checkout processes to align with your specific business needs. This includes the ability to enable or disable guest checkout, require address information on registration, and more. Continuously explore and customize these settings to optimize your customer experience.",51
Creating an Order: Steps,"To create an order: 1. Click on the ""Create an Order"" button. 2. Select an existing customer or create a new one. 3. Choose the delivery method (based on your store's settings). 4. Input the shipping address from the customer's assigned addresses. 5. Select a product and add the desired quantity. 6. Override the price if necessary. 7. Choose a payment method (offline or online). 8. Select a shipping carrier. 9. Click ""Create Order"" or ""Create Order and Send Email to the Customer.""",83
Offline vs. Online Payment Methods,"There are two main payment method options: offline and online. Offline payment methods include cash on delivery, pay in store, or bank wire transfer. These methods allow you to finalize the entire order without customer intervention. Online payment methods, such as credit/debit card or mobile wallet, require the customer to finalize the order. The customer must confirm the order, select a shipping method, and pay using their chosen online payment method.",71
Creating an Order with Online Payment,"To create an order with an online payment method: 1. Select an online payment provider, such as Braintree, during the order creation process. 2. Click ""Create Order and Send Email to the Customer."" 3. The customer will receive an email with a link to view and confirm the order. 4. The customer must accept the store's policies before confirming the order. 5. Once the customer confirms the order and completes the payment, the order status will change to ""Paid.""",79
Customizing the Order Confirmation Email,"To edit the order confirmation email template, navigate to ""Marketing"" > ""Omnichannel"" > ""Email Templates"" and scroll down to the ""Order Confirmation Email Template."" Customize the template to suit your store's needs.",32
GDPR Compliance,"When creating an order through the admin panel, it is important to ensure GDPR compliance. The best way to achieve this is by sending a link to the customer for them to finalize the order at the checkout process. This allows the customer to accept your store's policies, such as terms and conditions, privacy policy, and GDPR policies.",58
Accessing the Settings,"To access and modify the settings, follow these steps: 1. Log in to your CloudCart account. 2. Navigate to the ""Settings"" menu located on the left side of the dashboard. 3. Click on ""Cart and Checkout"" to open the relevant settings page. 4. Scroll down to the bottom of the page, where you will find options to configure the actions that occur after a customer clicks the ""Buy Now"" or ""Add to Cart"" button. By combining these options, you can create different scenarios and actions in the storefront to optimize the customer experience.",93
Forward to Checkout Page,"The ""Forward to Checkout Page"" option, when selected, immediately redirects the user to the checkout page after they click the ""Add to Cart"" or ""Buy Now"" button. This option streamlines the checkout process and reduces distractions for customers who prefer a quick and direct purchasing experience. To enable this option, click on the corresponding radio button in the settings page.",60
Forward to Cart Page,"The ""Forward to Cart Page"" option, when selected and enabled, displays a side panel with the cart contents after the user clicks the ""Add to Cart"" or ""Buy Now"" button. This side panel allows the user to view and edit their cart without leaving the product page, maintaining engagement with the store's offerings. This option is particularly useful for stores that wish to keep customers on the product page while also providing easy access to the cart. To enable this option, click on the corresponding radio button in the settings page and ensure the ""Enable side panel"" checkbox is selected.",100
Show Confirmation Pop-up,"The ""Show Confirmation Pop-up"" option, when selected, presents a pop-up window confirming that a product has been successfully added to the cart. This older method of displaying cart updates can also be utilized to upsell or cross-sell products by featuring additional items in the pop-up window. The confirmation pop-up can be displayed when adding products from both individual product pages and listing pages. To enable this option, click on the corresponding radio button in the settings page.",77
Do Nothing,"The ""Do Nothing"" option is an excellent choice for grocery stores or B2B businesses that want to enable customers to add products to their carts quickly without any distractions or additional steps. When this option is selected, a small widget appears next to the ""Add to Cart"" button, allowing users to increase or decrease the product quantity directly on the product page. This streamlined option minimizes distractions during the shopping experience, making it ideal for stores that prioritize efficiency. To enable this option, click on the corresponding radio button in the settings page.",93
Side Panel (Default Option),"The default option for CloudCart stores is the side panel, which appears when a user adds a product to their cart. This panel allows customers to view and edit their cart contents while remaining on the product page, striking a balance between engagement and convenience. The side panel provides customers with the option to proceed to the checkout, close the panel, or view their cart by clicking the corresponding buttons. By default, this option is pre-selected in the settings page, but can be changed by selecting a different option.",89
How Shared Carts Work,"If you go to the cart, you can see that the link is your cart's unique link. You can copy this link and open it through a brand new browser or send it to your friends or customers through email or chat applications. When someone clicks on that link, the products in the cart of the previous user will be transferred, and a brand new cart with the same items will be created for that particular user. This allows sharing the cart content between devices without affecting the original cart.",90
Merging Carts,"Another feature related to cart management is the ability to merge carts. If you are not logged in and have items in your cart from a previous session, when you log in on a new device, the system will identify your cart items and offer you the option to merge your existing and current cart items. This is useful for finalizing orders that you may have forgotten or combining items from different carts.",73
Merging Carts Demonstration,"To demonstrate how cart merging works, we will use two different browsers to simulate two separate devices. In the first browser, we have an account with five products in the cart. In the second browser, we clear out the cart and add new products that were not in the original cart. Then, we log in to the same account, and as soon as we do, all items from the original cart are transferred and merged with the items from the current session. This means that all products from the original cart have been transferred to the new device, and you don't need to search for them again when switching devices. The same cart with merged items can be viewed on different devices, making it a convenient feature.",127
Cart Merging and Sharing Settings,"To enable cart merging, go to Settings > Cart and Checkout Settings and toggle on the ""Merge Carts"" option. The cart sharing feature is built-in, so you don't have to do anything to enable it.",35
Adding an existing domain,"Go to your CloudCart admin panel, navigate to Settings > Domains, and click on Add Existing Domain. Enter your custom domain (e.g., bigrelease.com) and submit.",25
Choose DNS management option,"You will be presented with two options: Fully Managed DNS Records (recommended) or Managing your domain as a CNAME record. For this scenario, choose the Fully Managed DNS Records option.",30
Enable DNS record management,Enable the DNS record management from the admin panel and proceed with the setup.,14
Change the name servers,"After selecting the Fully Managed DNS Records option, the system will prompt you to change your current name servers to the provided name servers. Follow the instructions and update your name servers at your domain registrar (e.g., name.com).",38
Verify and set as primary,"Once you have updated your name servers, return to the CloudCart admin panel and click on Verify. Once verified, set the custom domain as your primary domain.",27
Adding a subdomain,"Go to your CloudCart admin panel, navigate to Settings > Domains, and click on Add Existing Domain. Enter your subdomain (e.g., shop.bigrelease.com) and submit.",24
Choose CNAME record management option,"You will be presented with two options: Fully Managed DNS Records or Managing your domain as a CNAME record. For this scenario, choose the Managing your domain as a CNAME record option.",32
Update CNAME record,"The system will provide you with a unique CNAME value. Log in to your domain registrar's control panel (e.g., name.com) and create a new CNAME record with your subdomain as the host (e.g., shop) and the provided CNAME value as the target.",42
Verify and set as primary,"Once you have updated the CNAME record, return to the CloudCart admin panel and click on Verify. Once verified, set the subdomain as your primary domain.",26
Troubleshooting and Support,"If you encounter any issues during the custom domain setup process, please refer to CloudCart's knowledge base or contact CloudCart support for assistance. They can help diagnose and resolve any issues, ensuring that your custom domain or subdomain is correctly linked to your CloudCart store.",45
Introduction to Order Statuses,"Order statuses are important in CloudCart because different events occur based on the order status, such as inventory reduction, customer notifications, and invoice creation. Understanding the intricacies of order statuses is essential for both you and your merchants.",38
Three Main Statuses,"In CloudCart, an order has three main statuses: (1) fulfillment status, which indicates whether an order has been fulfilled or not; (2) payment status, which can have various sub-statuses such as completed, declined, pending, and refunded; and (3) the main order status, which is determined based on the fulfillment and payment status.",52
Offline Payment Methods,"An order's status can be ""pending"" when an offline payment method is used, such as cash on delivery, bank transfers, or other offline payment methods that will be added in the future. Offline payment methods do not involve direct payment or payment verification, so the status remains ""pending"" until the merchant takes further action.",54
Preparing and Shipping an Order with Offline Payment Methods,"When an order is placed with an offline payment method, the merchant is expected to perform actions such as preparing the shipment and packaging the order. In this case, the status will be ""pending,"" and the merchant can update the order status to ""fulfilled"" when they have prepared the order for shipping.",52
Updating the Payment Status,"The payment status can be updated manually by the merchant when using offline payment methods. For example, when an order is placed with cash on delivery, the merchant needs to confirm the payment and mark the order as paid to update the overall order status.",45
Updating Order Status to Fulfilled,"When you mark an order as fulfilled, the order status will change accordingly, and the customer will receive an email notification about their fulfilled order. Depending on the settings you have chosen, the available stock for the ordered items may be reduced at this point.",45
Adjusting Inventory Reduction Settings,"You can configure when the inventory should be reduced: either when the order status is ""pending"" and ""fulfilled"" or when it's ""paid"" and ""fulfilled."" This setting can be adjusted based on your preferences and the type of payment methods you primarily work with.",43
Inventory Reduction for Cash on Delivery Orders,"If you predominantly work with cash on delivery orders and have chosen the ""pending"" and ""fulfilled"" setting for inventory reduction, the available stock for the ordered items will be immediately reduced once the order is placed. However, if you have chosen the ""paid"" and ""fulfilled"" setting, the stock will only be reduced when the order is marked as paid or fulfilled.",61
Inventory Reduction for Directly Paid Orders,"If an order is placed with a direct payment method, such as a credit card, the inventory reduction will depend on the settings you have chosen. With the ""pending"" and ""fulfilled"" setting, the inventory will not be reduced immediately upon placing the order, but rather when the order is marked as fulfilled. On the other hand, if you have selected the ""paid"" and ""fulfilled"" setting, the inventory will be reduced as soon as the order is marked as fulfilled.",79
Order Status Transitions,"An order should not transition back to a ""pending"" status once it has been marked as ""paid."" The ""pending"" status is the initial status of an order, and it should only progress through the subsequent stages (e.g., ""fulfilled"" and ""paid"") to reflect the actual state of the order. Proper management of order statuses is crucial for maintaining accurate inventory and ensuring a smooth order processing experience for both the merchant and the customer.",73
Shipment and Additional Order Status,"Once an order is marked as fulfilled, a shipping notice or invoice may be generated and sent to the customer, along with any other relevant notifications (e.g., via email, Messenger, Viber, or any other connected platform). Customers can also assign other order statuses, such as ""canceled"" or ""refund issued."" It's important to note that once an order is marked as fulfilled, its status cannot be changed back to ""pending""",69
Canceling and Refunding a Shipped Order,"To cancel or refund a fulfilled order, you can use the available options within the order management interface. When an order is marked as both ""fulfilled"" and ""canceled,"" this indicates that the order has been fulfilled but later canceled. Keep in mind that orders marked as ""fulfilled"" cannot have their shipping or billing addresses modified.",55
Modifying Unshipped Orders,"To modify an order's shipping or billing address, the order must be marked as ""unfulfilled."" You can perform this action by selecting the appropriate status within the order management interface. Once an order is marked as ""unfulfilled,"" you'll be able to edit the necessary information.",45
Payment Statuses,"In addition to order statuses, payment statuses are another crucial aspect of order management. Understanding and managing payment statuses accurately ensures a smooth and efficient order processing experience for both the merchant and the customer.",35
Marking an Order as Paid,"When marking an order as paid (in this case, using cash on delivery), you will be asked to enter a reference number. Once an order is marked as paid, it can never be marked as unpaid again. This restriction is in place to prevent merchants from manipulating the platform and to ensure compliance with legal requirements in various countries, such as Bulgaria.",62
Canceling or Refunding a Paid Order,"While you cannot mark a paid order as unpaid, you can still cancel or refund it. If you attempt to cancel an order that has already been paid, you may receive a notification stating that only open orders can be canceled. In this case, you can't cancel the order, but you can issue a refund. This process might involve contacting the customer, who may have requested the cancellation of their order over the phone, and confirming that they will not receive the order. If the order was marked as paid, you can't cancel it, but you can issue a refund and record the refund as processed.",106
Returning to the Original Status of an Order,"Once you have marked an order as paid, it will be shown as such in the order management interface. When preparing the order for shipment, the system will update the order status to ""completed"" after the order has been fulilled and payment has been received. At this point, there is no further action required for this order. The system automatically marks an order as completed when both the shipping and payment statuses are in a positive state (i.e., the shipping status is marked as ""fulilled"" and the payment status is marked as ""paid""). When these conditions are met, the order is considered completed and can be seen as such in the order management interface. Completed orders can only be archived.",120
Understanding Order Status and Archive Function,"In the order management interface, you can filter orders by their status, such as ""completed"" orders. Completed orders that appear in gray indicate that they have been archived. Archiving an order allows you to remove it from active processing, but still retain its information for future reference.",47
Unarchiving and Editing Archived Orders,"To unarchive an order, simply select the appropriate action within the order management interface. Once unarchived, you can perform various operations on the order, such as editing and updating its status. Keep in mind that while an order is archived, it cannot be edited or have its status changed. Instead, you can only view its history and access its associated invoice. Unarchiving the order will enable you to perform additional actions as needed.",73
Using Filters to Manage Orders,"Within the order management interface, you can use various filters to view orders based on their status, payment method, or delivery status. This allows you to easily manage and prioritize orders according to your business needs.",36
Two Main Groups of Statuses,"There are two main groups of statuses in the system: system-generated statuses and custom statuses added by the client. System-generated statuses include order status, delivery status, and payment status. You can also add your own custom statuses to the main order status to better manage and categorize your orders.",49
Adding Custom Statuses,"Custom statuses allow you to mark orders that require special attention, such as those needing additional processing or follow-up. By using custom statuses, you can easily filter and view orders that need further action. Custom statuses can be added to the main order status and can be used for filtering orders in the future. However, custom statuses do not trigger email notifications to customers.",64
Webhooks and Status Notifications,"While custom statuses do not send email notifications to customers, they can initiate the sending of webhook messages. Webhooks are a powerful tool for transferring information from one software environment to another. System-generated statuses, on the other hand, send email notifications to customers to inform them about the status of their orders. In summary, all statuses, whether system-generated or custom, can be sent via webhooks, but only system-generated statuses trigger email notifications to customers.",74
Understanding Order Statuses,"Orders have three main statuses: shipping status, payment status, and overall order status. The shipping status can be either ""Fulfilled"" or ""Not fulfilled"" The payment status has several types, which are determined by the corresponding payment provider. If there is no payment provider, it is considered an offline payment method.",50
Payment Status Types,"Payment status types include ""Completed,"" ""Cancelled,"" ""Expired,"" ""Disputed,"" ""Frozen,"" ""Pending,"" ""Requested,"" and ""Initiated."" These statuses come from electronic payment methods and are system-generated.",23
Combining Shipping and Payment Statuses,"The overall order status combines both the shipping and payment statuses. For example, an order can have a ""Fulfilled"" shipping status but an ""Unpaid"" payment status, or it can have a ""Paid"" payment status but a ""Not Shipped"" shipping status. Separating these statuses into three categories allows merchants to easily understand the current state of each order and enables the online store software to relay this information to other systems in real-time. This enables a wide range of functionalities and allows for the implementation of necessary business logic.",88
